iter	Passed	Remaining
0	143	143630
1	146	73008
2	148	49389
3	150	37570
4	155	30941
5	157	26167
6	160	22727
7	162	20110
8	164	18074
9	165	16423
10	168	15154
11	170	14030
12	172	13060
13	173	12213
14	174	11475
15	176	10830
16	177	10252
17	178	9732
18	179	9266
19	180	8846
20	182	8517
21	184	8181
22	185	7870
23	186	7578
24	187	7302
25	188	7048
26	188	6810
27	189	6590
28	190	6385
29	191	6194
30	192	6014
31	193	5847
32	194	5691
33	195	5545
34	197	5432
35	198	5309
36	199	5187
37	200	5067
38	201	4954
39	201	4846
40	202	4743
41	203	4646
42	204	4556
43	205	4469
44	206	4385
45	207	4305
46	208	4228
47	209	4153
48	210	4092
49	212	4030
50	213	3967
51	214	3904
52	215	3841
53	215	3782
54	216	3724
55	217	3669
56	218	3615
57	219	3562
58	220	3512
59	221	3463
60	222	3418
61	223	3374
62	223	3330
63	225	3290
64	226	3260
65	227	3223
66	228	3185
67	229	3147
68	230	3111
69	231	3077
70	232	3042
71	233	3008
72	234	2974
73	235	2943
74	236	2911
75	236	2880
76	237	2850
77	238	2820
78	239	2792
79	240	2771
80	242	2748
81	243	2722
82	243	2692
83	244	2667
84	245	2642
85	246	2617
86	247	2594
87	248	2570
88	249	2549
89	249	2527
90	250	2505
91	251	2484
92	252	2464
93	253	2444
94	254	2425
95	255	2410
96	257	2393
97	258	2375
98	259	2358
99	260	2340
100	261	2324
101	262	2307
102	263	2292
103	264	2275
104	265	2259
105	265	2242
106	266	2226
107	267	2210
108	268	2195
109	269	2181
110	271	2170
111	272	2157
112	273	2143
113	273	2129
114	274	2114
115	275	2100
116	276	2086
117	277	2073
118	278	2060
119	279	2047
120	280	2034
121	280	2020
122	281	2008
123	282	1995
124	283	1983
125	284	1972
126	285	1964
127	287	1956
128	288	1945
129	289	1934
130	289	1923
131	290	1912
132	291	1902
133	292	1891
134	293	1880
135	294	1870
136	295	1860
137	296	1850
138	297	1839
139	297	1829
140	298	1819
141	299	1809
142	301	1804
143	302	1796
144	303	1787
145	304	1778
146	304	1769
147	305	1760
148	306	1752
149	307	1743
150	308	1734
151	309	1726
152	310	1717
153	311	1708
154	311	1700
155	312	1692
156	313	1685
157	315	1682
158	316	1676
159	317	1668
160	318	1659
161	319	1653
162	320	1646
163	321	1638
164	322	1631
165	323	1624
166	324	1617
167	325	1610
168	326	1603
169	327	1596
170	328	1590
171	329	1584
172	331	1582
173	332	1577
174	333	1570
175	334	1564
176	334	1557
177	335	1550
178	336	1544
179	337	1537
180	338	1531
